city1,city2,Year,quarter,fare
"Salt Lake City, UT","San Francisco, CA (Metropolitan Area)",2025,3,199.24
"Atlanta, GA (Metropolitan Area)","Detroit, MI",2025,3,189.26
"Buffalo, NY","New York City, NY (Metropolitan Area)",2025,3,158.33
"Detroit, MI","Washington, DC (Metropolitan Area)",2025,3,192.6
"Dallas/Fort Worth, TX","San Diego, CA",2025,3,231.14
"Las Vegas, NV","Miami, FL (Metropolitan Area)",2025,3,243.66
"Minneapolis/St. Paul, MN","San Francisco, CA (Metropolitan Area)",2025,3,251.98
"Las Vegas, NV","Minneapolis/St. Paul, MN",2025,3,177.07
"Indianapolis, IN","New York City, NY (Metropolitan Area)",2025,3,197.11
"Denver, CO","Philadelphia, PA",2025,3,228.77
"Minneapolis/St. Paul, MN","Phoenix, AZ",2025,3,196.01
"New York City, NY (Metropolitan Area)","Salt Lake City, UT",2025,3,329.79
"San Diego, CA","Washington, DC (Metropolitan Area)",2025,3,302.15
"Columbus, OH","New York City, NY (Metropolitan Area)",2025,3,197.72
"Charlotte, NC","Chicago, IL",2025,3,194.92
"Nashville, TN","Washington, DC (Metropolitan Area)",2025,3,204.76
"Las Vegas, NV","Sacramento, CA",2025,3,136.51
"Austin, TX","Denver, CO",2025,3,187.34
"New York City, NY (Metropolitan Area)","Pittsburgh, PA",2025,3,154.62
"Denver, CO","Salt Lake City, UT",2025,3,167.96
"Dallas/Fort Worth, TX","Detroit, MI",2025,3,234.71
"Dallas/Fort Worth, TX","Houston, TX",2025,3,220.02
"Cleveland, OH (Metropolitan Area)","New York City, NY (Metropolitan Area)",2025,3,198.11
"Denver, CO","Portland, OR",2025,3,172.34
"Las Vegas, NV","Phoenix, AZ",2025,3,167.14
"Boston, MA (Metropolitan Area)","Nashville, TN",2025,3,185.56
"Las Vegas, NV","Portland, OR",2025,3,152.37
"Atlanta, GA (Metropolitan Area)","Tampa, FL (Metropolitan Area)",2025,3,194.26
"Boston, MA (Metropolitan Area)","Minneapolis/St. Paul, MN",2025,3,288.43
"Phoenix, AZ","Portland, OR",2025,3,186.2
"Miami, FL (Metropolitan Area)","San Francisco, CA (Metropolitan Area)",2025,3,276.79
"Dallas/Fort Worth, TX","Minneapolis/St. Paul, MN",2025,3,228.27
"Minneapolis/St. Paul, MN","Orlando, FL",2025,3,172.12
"Boston, MA (Metropolitan Area)","Detroit, MI",2025,3,224.88
"Phoenix, AZ","Salt Lake City, UT",2025,3,188.66
"Charlotte, NC","Washington, DC (Metropolitan Area)",2025,3,192.11
"Boston, MA (Metropolitan Area)","Charlotte, NC",2025,3,248.68
"Denver, CO","Miami, FL (Metropolitan Area)",2025,3,237.49
"Detroit, MI","Las Vegas, NV",2025,3,242.22
"Phoenix, AZ","San Diego, CA",2025,3,161.73
"Houston, TX","San Francisco, CA (Metropolitan Area)",2025,3,327.24
"Boston, MA (Metropolitan Area)","San Diego, CA",2025,3,295.14
"Boston, MA (Metropolitan Area)","Houston, TX",2025,3,276.35
"Denver, CO","Detroit, MI",2025,3,208.86
"Dallas/Fort Worth, TX","Nashville, TN",2025,3,211.76
"Phoenix, AZ","Washington, DC (Metropolitan Area)",2025,3,279.94
"New York City, NY (Metropolitan Area)","St. Louis, MO",2025,3,225.58
"Chicago, IL","Raleigh/Durham, NC",2025,3,177.78
"Dallas/Fort Worth, TX","Philadelphia, PA",2025,3,277.35
"Dallas/Fort Worth, TX","Tampa, FL (Metropolitan Area)",2025,3,189.71
"Sacramento, CA","Seattle, WA",2025,3,184.83
